0,0,0
0.001,5.0647,0.012019
0.002,4.8669,0.010293
0.003,4.6806,0.013541
0.004,4.5258,0.012901
0.005,4.3715,0.012739
0.006,4.2549,0.013025
0.007,4.1483,0.012392
0.008,4.0498,0.014143
0.009,3.9783,0.012372
0.01,3.8952,0.013199
0.011,3.8114,0.011452
0.012,3.742,0.013495
0.013,3.6948,0.013516
0.014,3.6562,0.013283
0.015,3.5883,0.011325
0.016,3.5587,0.013022
0.017,3.5009,0.012647
0.018,3.4575,0.01443
0.019,3.4132,0.013601
0.02,3.391,0.010915
0.021,3.3539,0.012506
0.022,3.3058,0.011524
0.023,3.2815,0.012123
0.024,3.2538,0.011299
0.025,3.2165,0.012988
0.026,3.1765,0.012481
0.027,3.1774,0.013475
0.028,3.1146,0.014083
0.029,3.1044,0.013123
0.03,3.0811,0.013966
0.031,3.059,0.012554
0.032,3.0183,0.013258
0.033,3.011,0.012591
0.034,2.9819,0.012748
0.035,2.9616,0.013589
0.036,2.939,0.013598
0.037,2.9224,0.013045
0.038,2.9074,0.012034
0.039,2.8704,0.014895
0.04,2.866,0.012184
0.041,2.8429,0.014164
0.042,2.8406,0.013568
0.043,2.8113,0.011792
0.044,2.7899,0.012507
0.045,2.7721,0.011297
0.046,2.7383,0.014653
0.047,2.7407,0.012685
0.048,2.7209,0.012829
0.049,2.7138,0.01298
0.05,2.6959,0.013342
0.051,2.6996,0.012616
0.052,2.6765,0.012497
0.053,2.6598,0.012135
0.054,2.6465,0.012979
0.055,2.6249,0.011967
0.056,2.6241,0.012664
0.057,2.5971,0.01287
0.058,2.5908,0.012809
0.059,2.5732,0.015476
0.06,2.5493,0.012961
0.061,2.5376,0.013249
0.062,2.5198,0.012807
0.063,2.5107,0.013079
0.064,2.511,0.012126
0.065,2.5167,0.013636
0.066,2.5019,0.011868
0.067,2.4938,0.013399
0.068,2.4584,0.013321
0.069,2.4531,0.01326
0.07,2.4347,0.013264
0.071,2.4306,0.012008
0.072,2.4321,0.011946
0.073,2.4117,0.01247
0.074,2.4013,0.012183
0.075,2.4006,0.012946
0.076,2.3932,0.01268
0.077,2.3936,0.012276
0.078,2.3674,0.014119
0.079,2.3486,0.013377
0.08,2.3449,0.011911
0.081,2.3452,0.012739
0.082,2.3323,0.011499
0.083,2.3266,0.013318
0.084,2.3099,0.013477
0.085,2.2912,0.014315
0.086,2.2961,0.013202
0.087,2.2883,0.012466
0.088,2.2728,0.014274
0.089,2.2787,0.011469
0.09,2.2499,0.013571
0.091,2.2537,0.012259
0.092,2.2583,0.012747
0.093,2.2449,0.012614
0.094,2.241,0.012059
0.095,2.2328,0.012783
0.096,2.2072,0.012751
0.097,2.2093,0.0132
0.098,2.1856,0.01153
0.099,2.1923,0.012847
0.1,2.1656,0.011986
