0,0
0.025,0
0.05,0
0.075,0
0.1,0
0.125,0
0.15,0
0.175,0
0.2,0
0.225,0
0.25,0
0.275,0
0.3,0
0.325,0
0.35,0
0.375,0
0.4,0
0.425,0
0.45,0
0.475,0
0.5,0
0.525,0
0.55,0
0.575,0
0.6,0.032916
0.625,0.088147
0.65,0.14898
0.675,0.21383
0.7,0.28088
0.725,0.34823
0.75,0.41406
0.775,0.47677
0.8,0.53507
0.825,0.58799
0.85,0.63492
0.875,0.67557
0.9,0.70989
0.925,0.73807
0.95,0.76039
0.975,0.77728
1,0.78918
1.025,0.79657
1.05,0.79992
1.075,0.79968
1.1,0.79627
1.125,0.79006
1.15,0.78141
1.175,0.77062
1.2,0.75797
1.225,0.74369
1.25,0.72799
1.275,0.71107
1.3,0.69306
1.325,0.67412
1.35,0.65435
1.375,0.63387
1.4,0.61275
1.425,0.59108
1.45,0.5689
1.475,0.54628
1.5,0.52326
1.525,0.49986
1.55,0.47612
1.575,0.45207
1.6,0.4277
1.625,0.40305
1.65,0.37811
1.675,0.3529
1.7,0.32741
1.725,0.30165
1.75,0.27562
1.775,0.24932
1.8,0.22275
1.825,0.1959
1.85,0.16877
1.875,0.14137
1.9,0.11368
1.925,0.085696
1.95,0.057427
1.975,0.028862
2,0
