0,0,0
0.025,0,0
0.05,0,0
0.075,0,0
0.1,0,0
0.125,0,0
0.15,0,0
0.175,0,0
0.2,0,0
0.225,0,0
0.25,2.1903e-05,2.6811e-07
0.275,0.0023256,3.2702e-05
0.3,0.014444,0.00021045
0.325,0.045907,0.00063193
0.35,0.099956,0.001466
0.375,0.18164,0.0028004
0.4,0.28522,0.0041056
0.425,0.4091,0.0052499
0.45,0.52505,0.008457
0.475,0.65545,0.009982
0.5,0.76186,0.01229
0.525,0.86092,0.013627
0.55,0.93159,0.016777
0.575,1.0112,0.018132
0.6,1.0766,0.018953
0.625,1.1382,0.020776
0.65,1.1979,0.021401
0.675,1.2174,0.023396
0.7,1.2248,0.023715
0.725,1.2132,0.026673
0.75,1.2506,0.026863
0.775,1.2475,0.025403
0.8,1.2292,0.029848
0.825,1.2497,0.027672
0.85,1.2598,0.026786
0.875,1.2176,0.031766
0.9,1.2018,0.03258
0.925,1.2054,0.030279
0.95,1.1497,0.035519
0.975,1.1591,0.034388
1,1.1149,0.035973
1.025,1.1504,0.033436
1.05,1.0635,0.041349
1.075,1.0266,0.040594
1.1,1.0187,0.041794
1.125,0.95788,0.042747
1.15,0.94555,0.046734
1.175,0.90977,0.047518
1.2,0.9099,0.046631
1.225,0.88916,0.045686
1.25,0.77848,0.051289
1.275,0.76807,0.048315
1.3,0.75241,0.047884
1.325,0.68606,0.053985
1.35,0.68514,0.055236
1.375,0.62836,0.058935
1.4,0.53886,0.066288
1.425,0.51254,0.066975
1.45,0.44032,0.06852
1.475,0.45842,0.077968
1.5,0.31999,0.073895
1.525,0.32245,0.080983
1.55,0.24711,0.085563
1.575,0.10351,0.094443
1.6,0.10792,0.087699
1.625,-0.067436,0.10037
1.65,-0.16538,0.11679
1.675,-0.22479,0.11705
1.7,-0.22652,0.13159
1.725,-0.32865,0.12494
1.75,-0.35309-0.042285i,0.17283
1.775,-0.52385-0.042285i,0.17242
1.8,-0.80318-0.16914i,0.23277
1.825,-0.71351-0.08457i,0.21624
1.85,-0.80564-0.08457i,0.19578
1.875,-1.0516-0.12685i,0.27186
1.9,-1.1042-0.25371i,0.33462
1.925,-0.98854-0.21142i,0.22564
1.95,-1.6994-0.67656i,0.39684
1.975,-1.3361-0.25371i,0.24821
2,-1.6985-0.50742i,0.35023
