2,0
3,0.12
4,0.14
5,0.22
6,0.44
7,0.48
8,0.7
9,0.62
10,0.68
11,0.7
12,0.92
13,0.92
14,0.86
15,0.96
16,0.96
17,1
18,1
19,0.98
20,0.98
