0,0,0,0
0.015625,1.5607e-14,4.7735e-08,2.0319e-10
0.03125,1.68e-11,1.668e-06,2.5863e-08
0.046875,9.8842e-10,1.3299e-05,4.3777e-07
0.0625,1.7632e-08,5.7852e-05,3.2368e-06
0.078125,1.6313e-07,0.00018042,1.5176e-05
0.09375,9.9431e-07,0.0004556,5.3267e-05
0.10938,4.5358e-06,0.00099397,0.00015293
0.125,1.671e-05,0.0019476,0.00037862
0.14062,5.2216e-05,0.0035139,0.00083638
0.15625,0.00014312,0.0059384,0.0016873
0.17187,0.00035238,0.0095149,0.0031608
0.1875,0.00079319,0.014584,0.0055657
0.20313,0.0016543,0.021532,0.0092985
0.21875,0.00323,0.03078,0.014846
0.23437,0.0059524,0.042784,0.022783
0.25,0.010422,0.058018,0.033762
0.26562,0.017429,0.076969,0.048493
0.28125,0.027965,0.10012,0.067724
0.29688,0.043205,0.12794,0.092206
0.3125,0.064471,0.16085,0.12266
0.32812,0.093163,0.19926,0.15972
0.34375,0.13065,0.24347,0.20393
0.35938,0.17815,0.29373,0.25567
0.375,0.23657,0.35019,0.31514
0.39062,0.30635,0.41287,0.38231
0.40625,0.38732,0.48168,0.45694
0.42188,0.47855,0.5564,0.53855
0.4375,0.5783,0.63664,0.62639
0.45312,0.684,0.72189,0.71953
0.46875,0.79228,0.81145,0.81682
0.48438,0.8991,0.90449,0.91698
0.5,1,1,1.0186
